u,g,r,i,z,class
20.91254,19.92765,19.6674,19.57113,19.58556,A
21.3502,20.096420000000002,19.74211,19.65032,19.658,A
20.16657,20.198520000000002,20.26083,20.32891,20.53464,O
21.25544,20.19864,19.844829999999998,19.70889,19.71556,A
20.82304,19.61786,19.179579999999998,18.99731,19.03612,F
21.5409,20.317239999999998,20.02334,19.81261,19.71817,F
21.364420000000003,20.28835,19.98161,19.8363,19.92833,F
21.01473,20.04627,19.67628,19.5348,19.57157,F
20.92546,19.86149,19.642970000000002,19.54699,19.53952,F
21.03378,19.93657,19.694960000000002,19.58253,19.488329999999998,F
20.66536,19.540470000000003,19.15612,18.984389999999998,18.95242,F
21.25838,20.3668,19.92379,19.75057,19.84216,F
20.5695,19.66335,19.38041,19.27826,19.12729,A
21.18055,20.167270000000002,19.826,19.74999,19.746029999999998,A
21.64281,20.3968,20.0252,19.88786,19.85224,F
21.067970000000003,20.09146,19.704720000000002,19.627679999999998,19.54832,F
21.31756,20.28793,19.92375,19.794610000000002,19.656760000000002,F
21.26383,20.33328,19.99982,19.853939999999998,19.833920000000003,A
20.68802,19.71017,19.3169,19.15195,19.15719,F
20.780089999999998,19.75122,19.42031,19.27051,19.21779,F
21.037589999999998,20.07585,19.77153,19.65502,19.66376,F
21.69158,20.51566,20.145770000000002,20.08066,20.03653,F
21.133770000000002,20.14776,19.815070000000002,19.69209,19.700860000000002,A
20.889870000000002,19.91477,19.568279999999998,19.434070000000002,19.37629,F
21.31835,20.28094,20.01635,19.82112,19.68417,F
20.6629,19.651,19.291,19.0879,19.01839,F
20.6442,19.631829999999997,19.296529999999997,19.19987,19.18204,F
21.49389,19.9773,19.25229,18.99396,18.855610000000002,F
20.89532,19.869320000000002,19.479470000000003,19.27345,19.21258,F
20.96579,20.054779999999997,19.72433,19.58721,19.55128,F
20.757279999999998,19.71968,19.37904,19.28735,19.28911,F
20.95552,19.97804,19.6276,19.409979999999997,19.45873,F
21.021720000000002,19.87395,19.50098,19.30931,19.28278,F
20.65421,19.662589999999998,19.33447,19.220470000000002,19.15661,A
20.9848,20.09187,19.75479,19.64232,19.62624,F
21.41534,20.46754,20.0526,19.93767,20.03489,F
21.2893,20.16936,19.85577,19.7544,19.77515,F
21.44427,20.31201,20.037129999999998,19.92107,19.84424,F
18.26618,17.31462,17.03666,16.91306,16.88119,F
18.93141,17.94934,17.559260000000002,17.42705,17.33802,F
17.8001,16.493370000000002,16.00031,15.82081,15.723220000000001,F
21.42526,20.00723,19.42579,19.193189999999998,19.03218,F
18.52197,17.48518,17.31504,17.25633,17.23811,A
16.04225,14.93772,14.581339999999999,14.4675,14.440129999999998,F
18.4182,17.241020000000002,16.8164,16.64818,16.569689999999998,F
23.846529999999998,20.97202,19.328020000000002,17.274820000000002,16.09361,M
18.341379999999997,18.38044,18.66985,18.91562,19.13387,O
22.05573,19.206979999999998,17.76519,16.86842,16.38345,M
22.043120000000002,20.687739999999998,19.87859,19.937929999999998,19.89167,F
16.894470000000002,15.79456,15.39127,15.25373,15.21812,F
24.299329999999998,24.6857,22.4588,19.59045,17.9264,M
21.16845,20.13399,19.69077,19.70731,19.261770000000002,F
20.53869,19.545070000000003,19.31306,19.20544,19.12294,F
23.89667,21.50853,20.09743,19.575670000000002,18.51395,M
18.85859,17.75606,17.51558,17.45494,17.50088,F
19.29206,18.223370000000003,18.06578,18.077720000000003,18.088160000000002,A
24.75135,22.41743,20.99622,19.557579999999998,18.8948,M
19.56222,18.610310000000002,18.35587,18.2285,18.227870000000003,A
24.709429999999998,22.712120000000002,21.25199,19.762999999999998,18.8968,M
18.438029999999998,17.35825,17.173370000000002,17.136960000000002,17.16753,F
18.47247,17.53577,17.25517,17.13575,17.09795,F
21.050520000000002,19.71871,19.2774,19.1183,19.091910000000002,F
19.6716,18.587,18.41508,18.34263,18.33646,A
19.63448,18.73572,18.30783,18.17822,18.1368,F
18.244329999999998,17.25356,17.05079,16.99323,16.96914,A
16.89443,15.71475,15.7188,15.74041,15.821520000000001,A
23.61583,22.44421,20.9698,18.64956,17.354570000000002,M
18.45297,17.34933,16.9827,16.87937,16.82441,F
24.67155,22.26504,20.7078,18.83631,17.82283,M
20.11721,19.02245,18.59659,18.40427,18.3502,F
25.5782,22.717010000000002,20.93013,18.53186,17.256420000000002,M
22.77478,22.045360000000002,20.370739999999998,18.38779,17.30435,M
19.24233,18.23333,18.04958,18.014039999999998,18.049960000000002,A
16.66108,15.537370000000001,15.21711,15.1212,15.111629999999998,F
17.3316,16.350379999999998,16.0247,15.89308,15.873170000000002,F
25.150879999999997,22.97154,21.03736,18.79786,17.548820000000003,M
22.94255,22.48462,20.87893,18.92792,17.851329999999997,M
24.60374,22.706999999999997,21.3877,19.406679999999998,18.392310000000002,M
23.983439999999998,22.96955,21.30823,19.45638,18.32115,M
20.73293,19.66331,19.34156,19.2313,19.17279,F
24.99076,22.4593,20.73525,18.812739999999998,17.73323,M
17.31043,16.31778,15.96362,15.81224,15.77205,F
19.53205,18.26219,17.76302,17.56803,17.46513,F
16.7826,15.50925,15.51723,15.555520000000001,15.57443,A
19.58393,18.38779,17.86637,17.63895,17.51385,F
23.88779,21.45359,19.8718,18.9801,18.47713,M
21.548679999999997,20.32338,20.398329999999998,20.61906,20.69574,B
19.623720000000002,18.6818,18.24667,18.06203,17.97111,F
18.05828,16.99413,16.68335,16.57501,16.54702,F
24.36734,21.25767,19.66385,17.80087,16.77734,M
18.68414,17.556079999999998,17.55291,17.59293,17.61906,A
17.40385,16.405479999999997,16.04748,15.90976,15.85948,F
16.72529,15.56055,15.442829999999999,15.468029999999999,15.532620000000001,A
20.31671,19.17428,18.873720000000002,18.79361,18.82317,F
18.88447,17.68056,17.6174,17.62436,17.67922,A
19.05459,18.01537,17.66486,17.52001,17.473779999999998,F
20.138939999999998,20.26286,20.61927,20.84432,21.00285,O
18.04055,17.136120000000002,16.80077,16.660439999999998,16.62012,F
18.11461,17.381429999999998,16.72345,15.57533,14.84278,M
20.27968,19.07658,19.06595,19.1238,19.06465,A
17.97916,16.981820000000003,16.663079999999997,16.53443,16.52221,F
20.37991,19.14252,18.99437,18.97103,18.93525,A
23.98048,21.040020000000002,19.60509,18.813489999999998,17.99686,M
19.03718,17.85146,17.36477,17.17879,17.10361,F
20.0432,19.12164,18.76605,18.60923,18.226010000000002,F
19.108729999999998,18.17304,17.868560000000002,17.742060000000002,17.71655,F
20.729779999999998,19.26492,19.16923,19.23106,19.12952,A
18.11466,17.14752,16.83217,16.72554,16.67492,F
18.39704,17.48734,17.1474,17.033620000000003,17.019460000000002,F
22.35311,20.162370000000003,18.79836,17.8932,17.18222,M
16.8292,15.62589,15.51733,15.5246,15.52731,A
16.529320000000002,15.35583,15.19461,15.215670000000001,15.262770000000002,F
18.419610000000002,17.48667,17.15496,17.01093,16.96844,F
21.73507,25.11438,20.55229,16.01081,15.782589999999999,F
19.18385,18.191329999999997,17.81261,17.65885,17.62477,F
17.75521,16.82834,16.5473,16.42018,16.40373,F
25.31498,23.00483,21.18532,18.94888,17.60649,M
20.20792,19.01105,18.51669,18.43606,18.077,F
16.54983,15.6325,15.37776,15.304179999999999,15.287579999999998,F
17.807370000000002,16.682560000000002,16.299,16.20081,16.17586,F
20.77069,17.955679999999997,16.62071,15.989310000000001,15.66624,M
18.87218,18.008779999999998,17.766389999999998,17.56621,17.4767,F
17.63577,16.72138,16.486629999999998,16.426029999999997,16.43287,A
18.95293,18.00731,17.691129999999998,17.59751,17.566029999999998,F
17.90955,16.973589999999998,16.67344,16.560270000000003,16.523770000000003,F
22.357879999999998,20.801070000000003,20.14595,20.080560000000002,19.65564,F
17.89323,17.03545,16.71797,16.60425,16.549979999999998,F
20.03354,17.379260000000002,15.94536,14.651060000000001,13.97994,M
21.07167,18.580289999999998,17.1845,16.52275,16.11257,M
25.446279999999998,22.21881,20.7493,18.90384,17.919539999999998,M
19.48622,19.59861,19.913420000000002,20.227420000000002,20.02969,O
23.094160000000002,20.84455,20.3455,20.17693,19.649929999999998,F
20.63791,20.15324,19.31119,19.121760000000002,19.01709,F
17.73518,16.74138,16.41744,16.30356,16.26246,F
17.364810000000002,16.186020000000003,16.31803,16.46339,16.5846,A
17.87298,16.99837,16.66442,16.51765,16.45625,F
17.47571,16.51503,16.1722,16.02437,15.93111,F
17.8963,16.968220000000002,16.66331,16.52194,16.4725,A
18.407220000000002,17.466720000000002,17.17691,17.064610000000002,17.03301,F
17.523239999999998,16.51215,16.1519,16.00872,15.95778,F
17.35814,16.38936,16.01921,15.86961,15.834529999999999,F
22.45664,19.20522,17.671310000000002,16.55503,15.94244,M
17.25861,16.26507,15.92966,15.797479999999998,15.75085,F
23.4301,20.88719,19.26647,18.10887,17.4564,M
18.92522,18.0427,17.76468,17.70348,17.69921,A
16.972260000000002,15.787560000000001,15.69227,15.701789999999999,15.74458,A
19.42887,19.54524,19.851029999999998,20.15608,20.43361,O
24.15126,23.13844,21.45642,19.66049,18.6702,M
21.48824,20.8103,19.9207,19.24629,18.89348,M
24.52234,21.7303,20.083270000000002,17.89092,16.66539,M
17.80811,16.91603,16.64903,16.51265,16.510279999999998,A
17.32825,16.220860000000002,15.9168,15.83419,15.8388,F
19.67781,18.654629999999997,18.22259,18.06315,18.007360000000002,F
19.899739999999998,18.72077,18.257170000000002,18.0763,17.97615,F
18.91197,17.61688,17.48885,17.46631,17.4698,A
23.00705,21.76021,19.9835,17.9259,16.805,M
23.04508,21.75465,20.12518,18.54296,17.65038,M
19.34633,18.131829999999997,18.08543,18.10257,18.11981,A
18.688570000000002,17.61337,17.21754,17.0738,17.00264,F
20.93852,19.76091,19.37986,19.26567,19.224520000000002,F
17.400879999999997,16.26015,15.93629,15.829329999999999,15.76615,F
18.82629,17.7734,17.225260000000002,16.96658,16.816029999999998,F
19.902739999999998,18.7539,18.4496,18.33602,18.2716,F
23.5858,21.4447,19.820320000000002,17.84331,16.74173,M
24.81404,22.83125,21.314770000000003,19.01122,17.80884,M
20.79539,19.75049,19.43415,19.3375,19.19998,F
25.03742,21.93265,20.26312,18.17451,17.06529,M
16.491139999999998,15.27104,15.30546,15.38306,15.47432,A
17.1477,16.226020000000002,15.954820000000002,15.865639999999999,15.827760000000001,F
20.36876,19.196460000000002,18.960620000000002,18.82742,18.86652,F
